goods,country,link,year,rank,trade_type,retrieved
gold,Afghanistan,/the-world-factbook/countries/afghanistan,2019,1,exports,2023-03-31
grapes,Afghanistan,/the-world-factbook/countries/afghanistan,2019,2,exports,2023-03-31
opium,Afghanistan,/the-world-factbook/countries/afghanistan,2019,3,exports,2023-03-31
fruits and nuts,Afghanistan,/the-world-factbook/countries/afghanistan,2019,4,exports,2023-03-31
insect resins,Afghanistan,/the-world-factbook/countries/afghanistan,2019,5,exports,2023-03-31
cotton,Afghanistan,/the-world-factbook/countries/afghanistan,2019,6,exports,2023-03-31
handwoven carpets,Afghanistan,/the-world-factbook/countries/afghanistan,2019,7,exports,2023-03-31
soapstone,Afghanistan,/the-world-factbook/countries/afghanistan,2019,8,exports,2023-03-31
scrap metal,Afghanistan,/the-world-factbook/countries/afghanistan,2019,9,exports,2023-03-31
leather footwear and parts,Albania,/the-world-factbook/countries/albania,2019,1,exports,2023-03-31
crude petroleum,Albania,/the-world-factbook/countries/albania,2019,2,exports,2023-03-31
iron alloys,Albania,/the-world-factbook/countries/albania,2019,3,exports,2023-03-31
clothing,Albania,/the-world-factbook/countries/albania,2019,4,exports,2023-03-31
electricity,Albania,/the-world-factbook/countries/albania,2019,5,exports,2023-03-31
perfumes,Albania,/the-world-factbook/countries/albania,2019,6,exports,2023-03-31
crude petroleum,Algeria,/the-world-factbook/countries/algeria,2019,1,exports,2023-03-31
natural gas,Algeria,/the-world-factbook/countries/algeria,2019,2,exports,2023-03-31
refined petroleum,Algeria,/the-world-factbook/countries/algeria,2019,3,exports,2023-03-31
fertilizers,Algeria,/the-world-factbook/countries/algeria,2019,4,exports,2023-03-31
ammonia,Algeria,/the-world-factbook/countries/algeria,2019,5,exports,2023-03-31
canned tuna,American Samoa,/the-world-factbook/countries/american-samoa,,1,exports,2023-03-31
integrated circuits,Andorra,/the-world-factbook/countries/andorra,2019,1,exports,2023-03-31
medical supplies,Andorra,/the-world-factbook/countries/andorra,2019,2,exports,2023-03-31
essential oils,Andorra,/the-world-factbook/countries/andorra,2019,3,exports,2023-03-31
cars,Andorra,/the-world-factbook/countries/andorra,2019,4,exports,2023-03-31
tanned hides,Andorra,/the-world-factbook/countries/andorra,2019,5,exports,2023-03-31
crude petroleum,Angola,/the-world-factbook/countries/angola,2019,1,exports,2023-03-31
diamonds,Angola,/the-world-factbook/countries/angola,2019,2,exports,2023-03-31
natural gas,Angola,/the-world-factbook/countries/angola,2019,3,exports,2023-03-31
refined petroleum,Angola,/the-world-factbook/countries/angola,2019,4,exports,2023-03-31
ships,Angola,/the-world-factbook/countries/angola,2019,5,exports,2023-03-31
lobster,Anguilla,/the-world-factbook/countries/anguilla,,1,exports,2023-03-31
fish,Anguilla,/the-world-factbook/countries/anguilla,,2,exports,2023-03-31
livestock,Anguilla,/the-world-factbook/countries/anguilla,,3,exports,2023-03-31
salt,Anguilla,/the-world-factbook/countries/anguilla,,4,exports,2023-03-31
concrete blocks,Anguilla,/the-world-factbook/countries/anguilla,,5,exports,2023-03-31
rum,Anguilla,/the-world-factbook/countries/anguilla,,6,exports,2023-03-31
ships,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,1,exports,2023-03-31
refined petroleum,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,2,exports,2023-03-31
precious/semi-precious metal scraps,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,3,exports,2023-03-31
rice,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,4,exports,2023-03-31
corn,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,5,exports,2023-03-31
soybean products,Argentina,/the-world-factbook/countries/argentina,2019,1,exports,2023-03-31
corn,Argentina,/the-world-factbook/countries/argentina,2019,2,exports,2023-03-31
delivery trucks,Argentina,/the-world-factbook/countries/argentina,2019,3,exports,2023-03-31
wheat,Argentina,/the-world-factbook/countries/argentina,2019,4,exports,2023-03-31
frozen meat,Argentina,/the-world-factbook/countries/argentina,2019,5,exports,2023-03-31
gold,Argentina,/the-world-factbook/countries/argentina,2019,6,exports,2023-03-31
copper ore,Armenia,/the-world-factbook/countries/armenia,2019,1,exports,2023-03-31
gold,Armenia,/the-world-factbook/countries/armenia,2019,2,exports,2023-03-31
tobacco,Armenia,/the-world-factbook/countries/armenia,2019,3,exports,2023-03-31
liquors,Armenia,/the-world-factbook/countries/armenia,2019,4,exports,2023-03-31
iron alloys,Armenia,/the-world-factbook/countries/armenia,2019,5,exports,2023-03-31
refined petroleum,Aruba,/the-world-factbook/countries/aruba,2019,1,exports,2023-03-31
liquors,Aruba,/the-world-factbook/countries/aruba,2019,2,exports,2023-03-31
scrap iron,Aruba,/the-world-factbook/countries/aruba,2019,3,exports,2023-03-31
soap,Aruba,/the-world-factbook/countries/aruba,2019,4,exports,2023-03-31
tobacco,Aruba,/the-world-factbook/countries/aruba,2019,5,exports,2023-03-31
iron ore,Australia,/the-world-factbook/countries/australia,2019,1,exports,2023-03-31
coal,Australia,/the-world-factbook/countries/australia,2019,2,exports,2023-03-31
natural gas,Australia,/the-world-factbook/countries/australia,2019,3,exports,2023-03-31
gold,Australia,/the-world-factbook/countries/australia,2019,4,exports,2023-03-31
aluminum oxide,Australia,/the-world-factbook/countries/australia,2019,5,exports,2023-03-31
cars,Austria,/the-world-factbook/countries/austria,2019,1,exports,2023-03-31
packaged medical supplies,Austria,/the-world-factbook/countries/austria,2019,2,exports,2023-03-31
vehicle parts,Austria,/the-world-factbook/countries/austria,2019,3,exports,2023-03-31
medical vaccines/cultures,Austria,/the-world-factbook/countries/austria,2019,4,exports,2023-03-31
flavored water,Austria,/the-world-factbook/countries/austria,2019,5,exports,2023-03-31
crude petroleum,Azerbaijan,/the-world-factbook/countries/azerbaijan,2019,1,exports,2023-03-31
natural gas,Azerbaijan,/the-world-factbook/countries/azerbaijan,2019,2,exports,2023-03-31
refined petroleum,Azerbaijan,/the-world-factbook/countries/azerbaijan,2019,3,exports,2023-03-31
tomatoes,Azerbaijan,/the-world-factbook/countries/azerbaijan,2019,4,exports,2023-03-31
gold,Azerbaijan,/the-world-factbook/countries/azerbaijan,2019,5,exports,2023-03-31
refined petroleum,"Bahamas, The",/the-world-factbook/countries/bahamas-the,2020,1,exports,2023-03-31
ships,"Bahamas, The",/the-world-factbook/countries/bahamas-the,2020,2,exports,2023-03-31
raw aluminum,"Bahamas, The",/the-world-factbook/countries/bahamas-the,2020,3,exports,2023-03-31
nitrogen compounds,"Bahamas, The",/the-world-factbook/countries/bahamas-the,2020,4,exports,2023-03-31
styrene polymers,"Bahamas, The",/the-world-factbook/countries/bahamas-the,2020,5,exports,2023-03-31
refined petroleum,Bahrain,/the-world-factbook/countries/bahrain,2019,1,exports,2023-03-31
aluminum and plating,Bahrain,/the-world-factbook/countries/bahrain,2019,2,exports,2023-03-31
crude petroleum,Bahrain,/the-world-factbook/countries/bahrain,2019,3,exports,2023-03-31
iron ore,Bahrain,/the-world-factbook/countries/bahrain,2019,4,exports,2023-03-31
gold,Bahrain,/the-world-factbook/countries/bahrain,2019,5,exports,2023-03-31
clothing,Bangladesh,/the-world-factbook/countries/bangladesh,2019,1,exports,2023-03-31
knitwear,Bangladesh,/the-world-factbook/countries/bangladesh,2019,2,exports,2023-03-31
leather footwear,Bangladesh,/the-world-factbook/countries/bangladesh,2019,3,exports,2023-03-31
rums and other hard liquor,Barbados,/the-world-factbook/countries/barbados,2019,1,exports,2023-03-31
ships,Barbados,/the-world-factbook/countries/barbados,2019,2,exports,2023-03-31
orthopedic appliances,Barbados,/the-world-factbook/countries/barbados,2019,3,exports,2023-03-31
