link,country,amount,note,year,retrieved
/the-world-factbook/countries/afghanistan,Afghanistan,1500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,2000.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,2100.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/albania,Albania,14500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/albania,Albania,13300.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/albania,Albania,13700.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/algeria,Algeria,11000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/algeria,Algeria,10800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/algeria,Algeria,11600.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,11200.0,,2016,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,11300.0,,2015,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,11200.0,,2014,2023-03-31
/the-world-factbook/countries/andorra,Andorra,49900.0,,2015,2023-03-31
/the-world-factbook/countries/andorra,Andorra,51300.0,,2014,2023-03-31
/the-world-factbook/countries/andorra,Andorra,50300.0,,2013,2023-03-31
/the-world-factbook/countries/angola,Angola,5900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/angola,Angola,6000.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/angola,Angola,6600.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/anguilla,Anguilla,12200.0,,2008,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,19100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,18300.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,23000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/argentina,Argentina,21500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/argentina,Argentina,19700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/argentina,Argentina,22100.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/armenia,Armenia,14200.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/armenia,Armenia,13400.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/armenia,Armenia,14300.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/aruba,Aruba,38900.0,,2021,2023-03-31
/the-world-factbook/countries/aruba,Aruba,33200.0,,2020,2023-03-31
/the-world-factbook/countries/aruba,Aruba,40800.0,,2019,2023-03-31
/the-world-factbook/countries/australia,Australia,49800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/australia,Australia,48700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/australia,Australia,49400.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/austria,Austria,54100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/austria,Austria,52000.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/austria,Austria,55800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,14400.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,13700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,14400.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",30200.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",26700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",35200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,49400.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,47800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,49800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,5900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,5600.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,5500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/barbados,Barbados,13800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/barbados,Barbados,13800.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/barbados,Barbados,16000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/belarus,Belarus,19800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/belarus,Belarus,19200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/belarus,Belarus,19300.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/belgium,Belgium,51700.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/belgium,Belgium,49000.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/belgium,Belgium,52000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/belize,Belize,8800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/belize,Belize,7700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/belize,Belize,9000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/benin,Benin,3300.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/benin,Benin,3200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/benin,Benin,3200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,80300.0,,2021,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,76100.0,,2020,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,81700.0,,2019,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,10900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,10500.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,11800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,8100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,7700.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,8500.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,15700.0,data are in 2017 dollars,2021,2023-03-31
