link,country,amount,note,year,retrieved
/the-world-factbook/countries/afghanistan,Afghanistan,6983000000.0,,2020,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,7371000000.0,,2019,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,7988000000.0,,2018,2023-03-31
/the-world-factbook/countries/albania,Albania,8004000000.0,,2021,2023-03-31
/the-world-factbook/countries/albania,Albania,5671000000.0,,2020,2023-03-31
/the-world-factbook/countries/albania,Albania,6926000000.0,,2019,2023-03-31
/the-world-factbook/countries/algeria,Algeria,44322000000.0,,2021,2023-03-31
/the-world-factbook/countries/algeria,Algeria,42347000000.0,,2020,2023-03-31
/the-world-factbook/countries/algeria,Algeria,54259000000.0,,2019,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,615000000.0,,2016,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,657000000.0,,2015,2023-03-31
/the-world-factbook/countries/andorra,Andorra,1727000000.0,,2020,2023-03-31
/the-world-factbook/countries/andorra,Andorra,2032000000.0,,2019,2023-03-31
/the-world-factbook/countries/angola,Angola,18845000000.0,,2021,2023-03-31
/the-world-factbook/countries/angola,Angola,15146000000.0,,2020,2023-03-31
/the-world-factbook/countries/angola,Angola,22299000000.0,,2019,2023-03-31
/the-world-factbook/countries/anguilla,Anguilla,186200000.0,,2017,2023-03-31
/the-world-factbook/countries/anguilla,Anguilla,170100000.0,,2016,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,868797000.0,,2021,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,737693000.0,,2020,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,1180000000.0,,2019,2023-03-31
/the-world-factbook/countries/argentina,Argentina,72362000000.0,,2021,2023-03-31
/the-world-factbook/countries/argentina,Argentina,52339000000.0,,2020,2023-03-31
/the-world-factbook/countries/argentina,Argentina,66574000000.0,,2019,2023-03-31
/the-world-factbook/countries/armenia,Armenia,6120000000.0,,2021,2023-03-31
/the-world-factbook/countries/armenia,Armenia,5082000000.0,,2020,2023-03-31
/the-world-factbook/countries/armenia,Armenia,7603000000.0,,2019,2023-03-31
/the-world-factbook/countries/aruba,Aruba,1947000000.0,,2021,2023-03-31
/the-world-factbook/countries/aruba,Aruba,1644000000.0,,2020,2023-03-31
/the-world-factbook/countries/aruba,Aruba,2240000000.0,,2019,2023-03-31
/the-world-factbook/countries/australia,Australia,298712000000.0,,2021,2023-03-31
/the-world-factbook/countries/australia,Australia,250178000000.0,,2020,2023-03-31
/the-world-factbook/countries/australia,Australia,295504000000.0,,2019,2023-03-31
/the-world-factbook/countries/austria,Austria,265769000000.0,,2021,2023-03-31
/the-world-factbook/countries/austria,Austria,211736000000.0,,2020,2023-03-31
/the-world-factbook/countries/austria,Austria,231992000000.0,,2019,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,16337000000.0,,2021,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,15538000000.0,,2020,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,17712000000.0,,2019,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",4924000000.0,,2021,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",3411000000.0,,2020,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",4840000000.0,,2019,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,27187000000.0,,2018,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,23876000000.0,,2017,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,85303000000.0,,2021,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,56776000000.0,,2020,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,64233999999.99999,,2019,2023-03-31
/the-world-factbook/countries/barbados,Barbados,2213000000.0,,2017,2023-03-31
/the-world-factbook/countries/barbados,Barbados,1541000000.0,,2016,2023-03-31
/the-world-factbook/countries/belarus,Belarus,45459000000.0,,2021,2023-03-31
/the-world-factbook/countries/belarus,Belarus,35236000000.0,,2020,2023-03-31
/the-world-factbook/countries/belarus,Belarus,42378000000.0,,2019,2023-03-31
/the-world-factbook/countries/belgium,Belgium,509018000000.0,,2021,2023-03-31
/the-world-factbook/countries/belgium,Belgium,408343000000.0,,2020,2023-03-31
/the-world-factbook/countries/belgium,Belgium,438221000000.0,,2019,2023-03-31
/the-world-factbook/countries/belize,Belize,1252000000.0,,2021,2023-03-31
/the-world-factbook/countries/belize,Belize,901819000.0,,2020,2023-03-31
/the-world-factbook/countries/belize,Belize,1203000000.0,,2019,2023-03-31
/the-world-factbook/countries/benin,Benin,3942000000.0,,2020,2023-03-31
/the-world-factbook/countries/benin,Benin,4307000000.0,,2019,2023-03-31
/the-world-factbook/countries/benin,Benin,4669000000.0,,2018,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,1925000000.0,,2021,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,1723000000.0,,2020,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,2224000000.0,,2019,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,1026999999.9999999,,2021,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,1188000000.0,,2020,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,1230000000.0,,2019,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,10799000000.0,,2021,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,8260999999.999999,,2020,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,11957000000.0,,2019,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,12726000000.0,,2021,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,9726000000.0,,2020,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,11156000000.0,,2019,2023-03-31
/the-world-factbook/countries/botswana,Botswana,9277000000.0,,2021,2023-03-31
/the-world-factbook/countries/botswana,Botswana,7413000000.0,,2020,2023-03-31
/the-world-factbook/countries/botswana,Botswana,7696000000.0,,2019,2023-03-31
/the-world-factbook/countries/brazil,Brazil,297924000000.0,,2021,2023-03-31
/the-world-factbook/countries/brazil,Brazil,227854000000.0,,2020,2023-03-31
/the-world-factbook/countries/brazil,Brazil,269017000000.0,,2019,2023-03-31
/the-world-factbook/countries/british-virgin-islands,British Virgin Islands,300000000.0,,2017,2023-03-31
