goods,country,link,year,rank,trade_type,retrieved
wheat flours,Afghanistan,/the-world-factbook/countries/afghanistan,2019,1,imports,2023-03-31
broadcasting equipment,Afghanistan,/the-world-factbook/countries/afghanistan,2019,2,imports,2023-03-31
refined petroleum,Afghanistan,/the-world-factbook/countries/afghanistan,2019,3,imports,2023-03-31
rolled tobacco,Afghanistan,/the-world-factbook/countries/afghanistan,2019,4,imports,2023-03-31
aircraft parts,Afghanistan,/the-world-factbook/countries/afghanistan,2019,5,imports,2023-03-31
synthetic fabrics,Afghanistan,/the-world-factbook/countries/afghanistan,2019,6,imports,2023-03-31
refined petroleum,Albania,/the-world-factbook/countries/albania,2019,1,imports,2023-03-31
cars,Albania,/the-world-factbook/countries/albania,2019,2,imports,2023-03-31
tanned hides,Albania,/the-world-factbook/countries/albania,2019,3,imports,2023-03-31
packaged medical supplies,Albania,/the-world-factbook/countries/albania,2019,4,imports,2023-03-31
footwear parts,Albania,/the-world-factbook/countries/albania,2019,5,imports,2023-03-31
refined petroleum,Algeria,/the-world-factbook/countries/algeria,2019,1,imports,2023-03-31
wheat,Algeria,/the-world-factbook/countries/algeria,2019,2,imports,2023-03-31
packaged medical supplies,Algeria,/the-world-factbook/countries/algeria,2019,3,imports,2023-03-31
milk,Algeria,/the-world-factbook/countries/algeria,2019,4,imports,2023-03-31
vehicle parts,Algeria,/the-world-factbook/countries/algeria,2019,5,imports,2023-03-31
raw materials for canneries,American Samoa,/the-world-factbook/countries/american-samoa,,1,imports,2023-03-31
food,American Samoa,/the-world-factbook/countries/american-samoa,,2,imports,2023-03-31
petroleum products,American Samoa,/the-world-factbook/countries/american-samoa,,3,imports,2023-03-31
machinery and parts,American Samoa,/the-world-factbook/countries/american-samoa,,4,imports,2023-03-31
cars,Andorra,/the-world-factbook/countries/andorra,2019,1,imports,2023-03-31
refined petroleum,Andorra,/the-world-factbook/countries/andorra,2019,2,imports,2023-03-31
perfumes,Andorra,/the-world-factbook/countries/andorra,2019,3,imports,2023-03-31
shaving products,Andorra,/the-world-factbook/countries/andorra,2019,4,imports,2023-03-31
liquors,Andorra,/the-world-factbook/countries/andorra,2019,5,imports,2023-03-31
refined petroleum,Angola,/the-world-factbook/countries/angola,2019,1,imports,2023-03-31
scrap vessels,Angola,/the-world-factbook/countries/angola,2019,2,imports,2023-03-31
meat,Angola,/the-world-factbook/countries/angola,2019,3,imports,2023-03-31
rice,Angola,/the-world-factbook/countries/angola,2019,4,imports,2023-03-31
palm oil,Angola,/the-world-factbook/countries/angola,2019,5,imports,2023-03-31
fuels,Anguilla,/the-world-factbook/countries/anguilla,,1,imports,2023-03-31
foodstuffs,Anguilla,/the-world-factbook/countries/anguilla,,2,imports,2023-03-31
manufactures,Anguilla,/the-world-factbook/countries/anguilla,,3,imports,2023-03-31
chemicals,Anguilla,/the-world-factbook/countries/anguilla,,4,imports,2023-03-31
trucks,Anguilla,/the-world-factbook/countries/anguilla,,5,imports,2023-03-31
textiles,Anguilla,/the-world-factbook/countries/anguilla,,6,imports,2023-03-31
refined petroleum,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,1,imports,2023-03-31
ships,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,2,imports,2023-03-31
cars,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,3,imports,2023-03-31
precious/semi-precious metals,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,4,imports,2023-03-31
recreational boats,Antigua and Barbuda,/the-world-factbook/countries/antigua-and-barbuda,2019,5,imports,2023-03-31
cars,Argentina,/the-world-factbook/countries/argentina,2019,1,imports,2023-03-31
refined petroleum,Argentina,/the-world-factbook/countries/argentina,2019,2,imports,2023-03-31
vehicle parts,Argentina,/the-world-factbook/countries/argentina,2019,3,imports,2023-03-31
natural gas,Argentina,/the-world-factbook/countries/argentina,2019,4,imports,2023-03-31
soybeans,Argentina,/the-world-factbook/countries/argentina,2019,5,imports,2023-03-31
natural gas,Armenia,/the-world-factbook/countries/armenia,2019,1,imports,2023-03-31
cars,Armenia,/the-world-factbook/countries/armenia,2019,2,imports,2023-03-31
refined petroleum,Armenia,/the-world-factbook/countries/armenia,2019,3,imports,2023-03-31
broadcasting equipment,Armenia,/the-world-factbook/countries/armenia,2019,4,imports,2023-03-31
diamonds,Armenia,/the-world-factbook/countries/armenia,2019,5,imports,2023-03-31
refined petroleum,Aruba,/the-world-factbook/countries/aruba,2019,1,imports,2023-03-31
jewelry,Aruba,/the-world-factbook/countries/aruba,2019,2,imports,2023-03-31
cars,Aruba,/the-world-factbook/countries/aruba,2019,3,imports,2023-03-31
vehicle parts,Aruba,/the-world-factbook/countries/aruba,2019,4,imports,2023-03-31
tobacco products,Aruba,/the-world-factbook/countries/aruba,2019,5,imports,2023-03-31
refined petroleum,Australia,/the-world-factbook/countries/australia,2019,1,imports,2023-03-31
cars,Australia,/the-world-factbook/countries/australia,2019,2,imports,2023-03-31
crude petroleum,Australia,/the-world-factbook/countries/australia,2019,3,imports,2023-03-31
broadcasting equipment,Australia,/the-world-factbook/countries/australia,2019,4,imports,2023-03-31
delivery trucks,Australia,/the-world-factbook/countries/australia,2019,5,imports,2023-03-31
cars,Austria,/the-world-factbook/countries/austria,2019,1,imports,2023-03-31
vehicle parts,Austria,/the-world-factbook/countries/austria,2019,2,imports,2023-03-31
