link,country,year,trade_country,percentage,trade_type,retrieved
/the-world-factbook/countries/afghanistan,Afghanistan,2019,United Arab Emirates,0.23,imports,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,2019,Pakistan,0.17,imports,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,2019,India,0.13,imports,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,2019,China,0.09,imports,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,2019,United States,0.09,imports,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,2019,Uzbekistan,0.07,imports,2023-03-31
/the-world-factbook/countries/afghanistan,Afghanistan,2019,Kazakhstan,0.06,imports,2023-03-31
/the-world-factbook/countries/albania,Albania,2019,Italy,0.28,imports,2023-03-31
/the-world-factbook/countries/albania,Albania,2019,Greece,0.12,imports,2023-03-31
/the-world-factbook/countries/albania,Albania,2019,China,0.11,imports,2023-03-31
/the-world-factbook/countries/albania,Albania,2019,Turkey,0.09,imports,2023-03-31
/the-world-factbook/countries/albania,Albania,2019,Germany,0.05,imports,2023-03-31
/the-world-factbook/countries/algeria,Algeria,2019,China,0.18,imports,2023-03-31
/the-world-factbook/countries/algeria,Algeria,2019,France,0.14,imports,2023-03-31
/the-world-factbook/countries/algeria,Algeria,2019,Italy,0.08,imports,2023-03-31
/the-world-factbook/countries/algeria,Algeria,2019,Spain,0.08,imports,2023-03-31
/the-world-factbook/countries/algeria,Algeria,2019,Germany,0.05,imports,2023-03-31
/the-world-factbook/countries/algeria,Algeria,2019,Turkey,0.05,imports,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,2017,Fiji,0.07,imports,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,2017,Singapore,0.04,imports,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,2017,NZ,0.04,imports,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,2017,South Korea,0.03,imports,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,2017,Samoa,0.02,imports,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,2017,Kenya,0.04,imports,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,2017,Australia,0.02,imports,2023-03-31
/the-world-factbook/countries/andorra,Andorra,2019,Spain,0.71,imports,2023-03-31
/the-world-factbook/countries/andorra,Andorra,2019,France,0.17,imports,2023-03-31
/the-world-factbook/countries/angola,Angola,2019,China,0.22,imports,2023-03-31
/the-world-factbook/countries/angola,Angola,2019,Portugal,0.15,imports,2023-03-31
/the-world-factbook/countries/angola,Angola,2019,Nigeria,0.06,imports,2023-03-31
/the-world-factbook/countries/angola,Angola,2019,Belgium,0.06,imports,2023-03-31
/the-world-factbook/countries/angola,Angola,2019,United States,0.05,imports,2023-03-31
/the-world-factbook/countries/angola,Angola,2019,South Africa,0.05,imports,2023-03-31
/the-world-factbook/countries/angola,Angola,2019,Brazil,0.05,imports,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,2019,United States,0.39,imports,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,2019,Poland,0.16,imports,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,2019,China,0.07,imports,2023-03-31
/the-world-factbook/countries/argentina,Argentina,2019,Brazil,0.21,imports,2023-03-31
/the-world-factbook/countries/argentina,Argentina,2019,China,0.18,imports,2023-03-31
/the-world-factbook/countries/argentina,Argentina,2019,United States,0.14,imports,2023-03-31
/the-world-factbook/countries/argentina,Argentina,2019,Germany,0.06,imports,2023-03-31
/the-world-factbook/countries/armenia,Armenia,2019,Russia,0.29,imports,2023-03-31
/the-world-factbook/countries/armenia,Armenia,2019,China,0.1,imports,2023-03-31
/the-world-factbook/countries/armenia,Armenia,2019,Georgia,0.08,imports,2023-03-31
/the-world-factbook/countries/armenia,Armenia,2019,Iran,0.06,imports,2023-03-31
/the-world-factbook/countries/armenia,Armenia,2019,Turkey,0.05,imports,2023-03-31
/the-world-factbook/countries/aruba,Aruba,2019,United States,0.48,imports,2023-03-31
/the-world-factbook/countries/aruba,Aruba,2019,Netherlands,0.16,imports,2023-03-31
/the-world-factbook/countries/australia,Australia,2019,China,0.25,imports,2023-03-31
/the-world-factbook/countries/australia,Australia,2019,United States,0.12,imports,2023-03-31
/the-world-factbook/countries/australia,Australia,2019,Japan,0.07,imports,2023-03-31
/the-world-factbook/countries/australia,Australia,2019,Germany,0.05,imports,2023-03-31
/the-world-factbook/countries/australia,Australia,2019,Thailand,0.05,imports,2023-03-31
/the-world-factbook/countries/austria,Austria,2019,Germany,0.39,imports,2023-03-31
/the-world-factbook/countries/austria,Austria,2019,Italy,0.07,imports,2023-03-31
/the-world-factbook/countries/austria,Austria,2019,Czechia,0.05,imports,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,2019,United Kingdom,0.17,imports,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,2019,Russia,0.17,imports,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,2019,Turkey,0.12,imports,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,2019,China,0.06,imports,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",2020,United States,0.47,imports,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",2020,Germany,0.11,imports,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",2020,South Korea,0.08,imports,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",2020,China,0.05,imports,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",2020,Poland,0.04,imports,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,2019,United Arab Emirates,0.27,imports,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,2019,China,0.11,imports,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,2019,Saudi Arabia,0.07,imports,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,2019,United States,0.05,imports,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,2019,Brazil,0.05,imports,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,2019,Japan,0.05,imports,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,2019,India,0.05,imports,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,2019,China,0.31,imports,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,2019,India,0.15,imports,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,2019,Singapore,0.05,imports,2023-03-31
/the-world-factbook/countries/barbados,Barbados,2019,United States,0.35,imports,2023-03-31
/the-world-factbook/countries/barbados,Barbados,2019,Trinidad and Tobago,0.14,imports,2023-03-31
/the-world-factbook/countries/barbados,Barbados,2019,China,0.09,imports,2023-03-31
/the-world-factbook/countries/barbados,Barbados,2019,Netherlands,0.05,imports,2023-03-31
/the-world-factbook/countries/belarus,Belarus,2019,Russia,0.57,imports,2023-03-31
/the-world-factbook/countries/belarus,Belarus,2019,China,0.07,imports,2023-03-31
/the-world-factbook/countries/belarus,Belarus,2019,Poland,0.05,imports,2023-03-31
/the-world-factbook/countries/belarus,Belarus,2019,Germany,0.05,imports,2023-03-31
/the-world-factbook/countries/belarus,Belarus,2019,Ukraine,0.05,imports,2023-03-31
/the-world-factbook/countries/belgium,Belgium,2019,Netherlands,0.16,imports,2023-03-31
/the-world-factbook/countries/belgium,Belgium,2019,Germany,0.13,imports,2023-03-31
/the-world-factbook/countries/belgium,Belgium,2019,France,0.1,imports,2023-03-31
/the-world-factbook/countries/belgium,Belgium,2019,United States,0.08,imports,2023-03-31
/the-world-factbook/countries/belgium,Belgium,2019,Ireland,0.05,imports,2023-03-31
/the-world-factbook/countries/belgium,Belgium,2019,China,0.05,imports,2023-03-31
/the-world-factbook/countries/belize,Belize,2019,United States,0.36,imports,2023-03-31
/the-world-factbook/countries/belize,Belize,2019,China,0.13,imports,2023-03-31
/the-world-factbook/countries/belize,Belize,2019,Mexico,0.12,imports,2023-03-31
/the-world-factbook/countries/belize,Belize,2019,Guatemala,0.1,imports,2023-03-31
/the-world-factbook/countries/benin,Benin,2019,China,0.28,imports,2023-03-31
/the-world-factbook/countries/benin,Benin,2019,Thailand,0.09,imports,2023-03-31
/the-world-factbook/countries/benin,Benin,2019,India,0.08,imports,2023-03-31
/the-world-factbook/countries/benin,Benin,2019,Togo,0.06,imports,2023-03-31
/the-world-factbook/countries/benin,Benin,2019,United States,0.05,imports,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,2019,United States,0.44,imports,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,2019,South Korea,0.17,imports,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,2019,Germany,0.1,imports,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,2019,Canada,0.08,imports,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,2019,India,0.85,imports,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,2019,Thailand,0.05,imports,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,2017,Brazil,0.22,imports,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,2017,Chile,0.15,imports,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,2017,China,0.13,imports,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,2017,Peru,0.11,imports,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,2017,Argentina,0.08,imports,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,2017,United States,0.07,imports,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,2019,Croatia,0.15,imports,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,2019,Serbia,0.13,imports,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,2019,Germany,0.1,imports,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,2019,Italy,0.09,imports,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,2019,Slovenia,0.07,imports,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,2019,China,0.06,imports,2023-03-31
/the-world-factbook/countries/botswana,Botswana,2019,South Africa,0.58,imports,2023-03-31
/the-world-factbook/countries/botswana,Botswana,2019,Namibia,0.09,imports,2023-03-31
/the-world-factbook/countries/botswana,Botswana,2019,Canada,0.07,imports,2023-03-31
/the-world-factbook/countries/brazil,Brazil,2019,China,0.21,imports,2023-03-31
/the-world-factbook/countries/brazil,Brazil,2019,United States,0.18,imports,2023-03-31
