link,country,amount,note,year,retrieved
/the-world-factbook/countries/afghanistan,Afghanistan,20240000000.0,,2017,2023-03-31
/the-world-factbook/countries/albania,Albania,15273000000.0,,2019,2023-03-31
/the-world-factbook/countries/algeria,Algeria,169912000000.0,,2019,2023-03-31
/the-world-factbook/countries/american-samoa,American Samoa,658000000.0,,2016,2023-03-31
/the-world-factbook/countries/andorra,Andorra,2712000000.0,,2016,2023-03-31
/the-world-factbook/countries/angola,Angola,97261000000.0,,2019,2023-03-31
/the-world-factbook/countries/anguilla,Anguilla,175400000.0,,2009,2023-03-31
/the-world-factbook/countries/antigua-and-barbuda,Antigua and Barbuda,1524000000.0,,2017,2023-03-31
/the-world-factbook/countries/argentina,Argentina,447467000000.0,,2019,2023-03-31
/the-world-factbook/countries/armenia,Armenia,13694000000.0,,2019,2023-03-31
/the-world-factbook/countries/aruba,Aruba,2700000000.0,,2017,2023-03-31
/the-world-factbook/countries/australia,Australia,1390790000000.0,,2019,2023-03-31
/the-world-factbook/countries/austria,Austria,445025000000.0,,2019,2023-03-31
/the-world-factbook/countries/azerbaijan,Azerbaijan,48104000000.0,,2019,2023-03-31
/the-world-factbook/countries/bahamas-the,"Bahamas, The",12160000000.0,,2017,2023-03-31
/the-world-factbook/countries/bahrain,Bahrain,38472000000.0,,2019,2023-03-31
/the-world-factbook/countries/bangladesh,Bangladesh,329545000000.0,,2020,2023-03-31
/the-world-factbook/countries/barbados,Barbados,4990000000.0,,2017,2023-03-31
/the-world-factbook/countries/belarus,Belarus,63168000000.0,,2019,2023-03-31
/the-world-factbook/countries/belgium,Belgium,533028000000.0,,2019,2023-03-31
/the-world-factbook/countries/belize,Belize,1854000000.0,,2017,2023-03-31
/the-world-factbook/countries/benin,Benin,10315000000.0,,2018,2023-03-31
/the-world-factbook/countries/bermuda,Bermuda,6127000000.0,,2016,2023-03-31
/the-world-factbook/countries/bhutan,Bhutan,2405000000.0,,2017,2023-03-31
/the-world-factbook/countries/bolivia,Bolivia,40822000000.0,,2019,2023-03-31
/the-world-factbook/countries/bosnia-and-herzegovina,Bosnia and Herzegovina,20078000000.0,,2019,2023-03-31
/the-world-factbook/countries/botswana,Botswana,18335000000.0,,2019,2023-03-31
/the-world-factbook/countries/brazil,Brazil,1877942000000.0,,2019,2023-03-31
/the-world-factbook/countries/british-virgin-islands,British Virgin Islands,1380000000.0,,2018,2023-03-31
/the-world-factbook/countries/brunei,Brunei,12130000000.0,,2017,2023-03-31
/the-world-factbook/countries/bulgaria,Bulgaria,68489999999.99999,,2019,2023-03-31
/the-world-factbook/countries/burkina-faso,Burkina Faso,14271000000.0,,2018,2023-03-31
/the-world-factbook/countries/burma,Burma,76606000000.0,,2019,2023-03-31
/the-world-factbook/countries/burundi,Burundi,3027000000.0,,2019,2023-03-31
/the-world-factbook/countries/cabo-verde,Cabo Verde,1971000000.0,,2019,2023-03-31
/the-world-factbook/countries/cambodia,Cambodia,22090000000.0,,2017,2023-03-31
/the-world-factbook/countries/cameroon,Cameroon,34990000000.0,,2017,2023-03-31
/the-world-factbook/countries/canada,Canada,1741865000000.0,,2019,2023-03-31
/the-world-factbook/countries/cayman-islands,Cayman Islands,2250000000.0,,2008,2023-03-31
/the-world-factbook/countries/central-african-republic,Central African Republic,1937000000.0,,2017,2023-03-31
/the-world-factbook/countries/chad,Chad,10912000000.0,,2019,2023-03-31
/the-world-factbook/countries/chile,Chile,282655000000.0,,2019,2023-03-31
/the-world-factbook/countries/china,China,14327359000000.0,"because China's exchange rate is determined by fiat rather than by market forces, the official exchange rate measure of GDP is not an accurate measure of China's output; GDP at the official exchange rate substantially understates the actual level of China's output vis-a-vis the rest of the world; in China's situation, GDP at purchasing power parity provides the best measure for comparing output across countries",2019,2023-03-31
/the-world-factbook/countries/colombia,Colombia,323255000000.0,,2019,2023-03-31
/the-world-factbook/countries/comoros,Comoros,1186000000.0,,2019,2023-03-31
/the-world-factbook/countries/congo-democratic-republic-of-the,"Congo, Democratic Republic of the",47160000000.0,,2019,2023-03-31
/the-world-factbook/countries/congo-republic-of-the,"Congo, Republic of the",8718000000.0,,2017,2023-03-31
/the-world-factbook/countries/cook-islands,Cook Islands,299900000.0,,2016,2023-03-31
/the-world-factbook/countries/costa-rica,Costa Rica,61855000000.0,,2019,2023-03-31
/the-world-factbook/countries/cote-divoire,Cote d'Ivoire,42498000000.0,,2018,2023-03-31
/the-world-factbook/countries/croatia,Croatia,60687000000.0,,2019,2023-03-31
/the-world-factbook/countries/cuba,Cuba,93790000000.0,data are in Cuban Pesos at 1 CUP = 1 US$; official exchange rate,2017,2023-03-31
/the-world-factbook/countries/curacao,Curacao,5600000000.0,,2012,2023-03-31
/the-world-factbook/countries/cyprus,Cyprus,24946000000.0,,2019,2023-03-31
/the-world-factbook/countries/czechia,Czechia,250631000000.0,,2019,2023-03-31
/the-world-factbook/countries/denmark,Denmark,350037000000.0,,2019,2023-03-31
/the-world-factbook/countries/djibouti,Djibouti,3323000000.0,,2019,2023-03-31
/the-world-factbook/countries/dominica,Dominica,557000000.0,,2017,2023-03-31
/the-world-factbook/countries/dominican-republic,Dominican Republic,88956000000.0,,2019,2023-03-31
/the-world-factbook/countries/ecuador,Ecuador,107436000000.0,,2019,2023-03-31
/the-world-factbook/countries/egypt,Egypt,323763000000.0,,2019,2023-03-31
/the-world-factbook/countries/el-salvador,El Salvador,27023000000.0,,2019,2023-03-31
/the-world-factbook/countries/equatorial-guinea,Equatorial Guinea,10634000000.0,,2019,2023-03-31
/the-world-factbook/countries/eritrea,Eritrea,5813000000.0,,2017,2023-03-31
/the-world-factbook/countries/estonia,Estonia,31461000000.0,,2019,2023-03-31
/the-world-factbook/countries/eswatini,Eswatini,4484000000.0,,2019,2023-03-31
