link,exports,year,imports,trade_type,retrieved,amount,export_trade_rank,import_trade_rank,percentage_exports,percentage_imports
/the-world-factbook/countries/japan,China,2020.0,Japan,imports,2023-03-31,244834460000.0,3.0,1.0,0.06888983117613956,0.26
/the-world-factbook/countries/japan,Japan,2020.0,China,exports,2023-03-31,193023180000.0,1.0,3.0,0.21,0.062446839210611456
/the-world-factbook/countries/korea-south,South Korea,2020.0,China,exports,2023-03-31,192800500000.0,1.0,4.0,0.25,0.062374797800064705
/the-world-factbook/countries/germany,Germany,2020.0,United States,exports,2023-03-31,180360000000.0,1.0,5.0,0.09,0.053015873015873016
/the-world-factbook/countries/germany,China,2020.0,Germany,imports,2023-03-31,177500000000.0,4.0,1.0,0.049943725379853685,0.1
/the-world-factbook/countries/germany,Netherlands,2020.0,Germany,imports,2023-03-31,177500000000.0,1.0,1.0,0.21141019533111005,0.1
/the-world-factbook/countries/korea-south,China,2020.0,South Korea,imports,2023-03-31,174525750000.0,5.0,1.0,0.04910685143500281,0.25
/the-world-factbook/countries/japan,Japan,2020.0,United States,exports,2023-03-31,165448440000.0,2.0,6.0,0.18,0.04863269841269841
/the-world-factbook/countries/germany,Germany,2020.0,China,exports,2023-03-31,160320000000.0,2.0,7.0,0.08,0.051866709802652865
/the-world-factbook/countries/germany,Germany,2020.0,France,exports,2023-03-31,160320000000.0,2.0,1.0,0.08,0.16739809359132185
/the-world-factbook/countries/germany,Poland,2020.0,Germany,imports,2023-03-31,124250000000.00002,1.0,3.0,0.30185534751628323,0.07
/the-world-factbook/countries/germany,Germany,2020.0,Netherlands,exports,2023-03-31,120240000000.0,4.0,1.0,0.06,0.16343618322685877
/the-world-factbook/countries/germany,Germany,2020.0,United Kingdom,exports,2023-03-31,120240000000.0,4.0,1.0,0.06,0.13379042837638905
/the-world-factbook/countries/korea-south,South Korea,2020.0,United States,exports,2023-03-31,107968280000.00002,2.0,9.0,0.14,0.031736707818930045
/the-world-factbook/countries/germany,France,2020.0,Germany,imports,2023-03-31,106500000000.0,1.0,4.0,0.11565225701080724,0.06
